Order Id 10000, Total Price $108.00
Order Id 10053, Total Price $219.84
Order Id 10053, Total Price $25.60
Order Id 10053, Total Price $172.80
Order Id 10054, Total Price $360.00
Order Id 10054, Total Price $288.00
Order Id 10055, Total Price $504.00
Order Id 10055, Total Price $927.50
Order Id 10056, Total Price $1050.00
Order Id 10056, Total Price $204.00
Order Id 10057, Total Price $27.00
Order Id 10057, Total Price $28.00
Order Id 10058, Total Price $312.00
Order Id 10058, Total Price $469.00
Order Id 10058, Total Price $150.00
Order Id 10058, Total Price $570.00
Order Id 10058, Total Price $102.00
Order Id 10059, Total Price $96.00
Order Id 10059, Total Price $54.00
Order Id 10059, Total Price $97.20
Order Id 10060, Total Price $341.60
Order Id 10060, Total Price $525.00
Order Id 10060, Total Price $60.00
Order Id 10061, Total Price $142.80
Order Id 10062, Total Price $113.24
Order Id 10062, Total Price $422.94
Order Id 10062, Total Price $319.20
Order Id 10063, Total Price $182.40
Order Id 10063, Total Price $600.00
Order Id 10063, Total Price $190.00
Order Id 10064, Total Price $33.48
Order Id 10064, Total Price $67.50
Order Id 10064, Total Price $104.40
Order Id 10064, Total Price $113.40
Order Id 10065, Total Price $519.75
Order Id 10065, Total Price $75.00
Order Id 10065, Total Price $189.00
Order Id 10066, Total Price $69.60
Order Id 10066, Total Price $90.45
Order Id 10066, Total Price $42.12
Order Id 10067, Total Price $147.00
Order Id 10067, Total Price $87.00
Order Id 10067, Total Price $52.50
Order Id 10068, Total Price $126.35
Order Id 10068, Total Price $186.20
Order Id 10069, Total Price $210.00
Order Id 10069, Total Price $50.40
Order Id 10070, Total Price $168.00
Order Id 10070, Total Price $88.35
Order Id 10070, Total Price $305.90
Order Id 10071, Total Price $236.25
Order Id 10071, Total Price $3612.00
Order Id 10071, Total Price $52.50
Order Id 10072, Total Price $274.50
Order Id 10072, Total Price $1161.00
Order Id 10072, Total Price $340.20
Order Id 10072, Total Price $189.00
Order Id 10073, Total Price $1374.00
Order Id 10073, Total Price $812.00
Order Id 10074, Total Price $560.00
Order Id 10074, Total Price $60.00
Order Id 10074, Total Price $201.00
Order Id 10074, Total Price $588.00
Order Id 10075, Total Price $1425.90
Order Id 10075, Total Price $324.00
Order Id 10075, Total Price $69.00
Order Id 10076, Total Price $89.60
Order Id 10077, Total Price $282.24
Order Id 10077, Total Price $8.00
Order Id 10078, Total Price $37.52
Order Id 10078, Total Price $888.00
Order Id 10078, Total Price $147.20
Order Id 10079, Total Price $135.00
Order Id 10079, Total Price $81.00
Order Id 10079, Total Price $345.00
Order Id 10080, Total Price $319.20
Order Id 10080, Total Price $1560.00
Order Id 10080, Total Price $434.40
Order Id 10081, Total Price $270.00
Order Id 10081, Total Price $140.00
Order Id 10081, Total Price $150.00
Order Id 10082, Total Price $235.20
Order Id 10082, Total Price $79.20
Order Id 10082, Total Price $336.00
Order Id 10082, Total Price $72.80
Order Id 10083, Total Price $364.00
Order Id 10083, Total Price $366.00
Order Id 10083, Total Price $120.00
Order Id 10083, Total Price $31.50
Order Id 10084, Total Price $260.00
Order Id 10084, Total Price $144.00
Order Id 10084, Total Price $104.00
Order Id 10084, Total Price $345.00
Order Id 10085, Total Price $201.00
Order Id 10085, Total Price $190.00
Order Id 10085, Total Price $150.00
Order Id 10086, Total Price $140.00
Order Id 10086, Total Price $1844.00
Order Id 10087, Total Price $65.10
Order Id 10087, Total Price $98.00
Order Id 10087, Total Price $833.00
Order Id 10088, Total Price $96.00
Order Id 10088, Total Price $31.36
Order Id 10089, Total Price $86.80
Order Id 10089, Total Price $49.00
Order Id 10089, Total Price $66.00
Order Id 10090, Total Price $154.00
Order Id 10090, Total Price $189.00
Order Id 10090, Total Price $360.00
Order Id 10090, Total Price $100.00
Order Id 10091, Total Price $176.70
Order Id 10091, Total Price $248.52
Order Id 10091, Total Price $12908.00
Order Id 10092, Total Price $120.00
Order Id 10092, Total Price $130.50
Order Id 10092, Total Price $205.80
Order Id 10093, Total Price $97.20
Order Id 10093, Total Price $157.50
Order Id 10093, Total Price $1810.00
Order Id 10093, Total Price $824.40
Order Id 10094, Total Price $980.00
Order Id 10094, Total Price $117.60
Order Id 10094, Total Price $224.00
Order Id 10094, Total Price $523.20
Order Id 10094, Total Price $775.00
Order Id 10095, Total Price $210.00
Order Id 10095, Total Price $120.00
Order Id 10095, Total Price $160.00
Order Id 10095, Total Price $40.00
Order Id 10096, Total Price $390.00
Order Id 10096, Total Price $1560.00
Order Id 10096, Total Price $3010.00
Order Id 10097, Total Price $1299.00
Order Id 10097, Total Price $48.00
Order Id 10097, Total Price $2310.00
Order Id 10097, Total Price $812.00
Order Id 10098, Total Price $157.50
Order Id 10098, Total Price $672.00
Order Id 10098, Total Price $204.75
Order Id 10098, Total Price $742.50
Order Id 10098, Total Price $1463.00
Order Id 10098, Total Price $259.88
Order Id 10099, Total Price $40.80
Order Id 10099, Total Price $888.00
Order Id 10100, Total Price $70.00
Order Id 10100, Total Price $1732.00
Order Id 10100, Total Price $24.00
Order Id 10101, Total Price $91.20
Order Id 10101, Total Price $346.28
Order Id 10102, Total Price $42.00
Order Id 10102, Total Price $866.00
Order Id 10102, Total Price $60.00
Order Id 10102, Total Price $532.00
Order Id 10103, Total Price $199.50
Order Id 10103, Total Price $1380.00
Order Id 10104, Total Price $698.25
Order Id 10104, Total Price $147.00
Order Id 10104, Total Price $14.70
Order Id 10104, Total Price $283.50
Order Id 10105, Total Price $1355.75
Order Id 10105, Total Price $112.20
Order Id 10106, Total Price $70.00
Order Id 10106, Total Price $380.00
Order Id 10107, Total Price $112.00
Order Id 10107, Total Price $180.00
Order Id 10107, Total Price $276.00
Order Id 10107, Total Price $348.00
Order Id 10108, Total Price $343.50
Order Id 10108, Total Price $750.00
Order Id 10109, Total Price $514.50
Order Id 10109, Total Price $609.00
Order Id 10109, Total Price $252.00
Order Id 10109, Total Price $50.00
Order Id 10110, Total Price $173.60
Order Id 10110, Total Price $90.00
Order Id 10110, Total Price $320.00
Order Id 10110, Total Price $336.00
Order Id 10111, Total Price $931.50
Order Id 10112, Total Price $252.00
Order Id 10113, Total Price $860.00
Order Id 10113, Total Price $264.60
Order Id 10114, Total Price $58.80
Order Id 10114, Total Price $80.40
Order Id 10114, Total Price $150.00
Order Id 10115, Total Price $212.80
Order Id 10115, Total Price $104.00
Order Id 10115, Total Price $45.00
Order Id 10116, Total Price $21.00
Order Id 10116, Total Price $266.00
Order Id 10116, Total Price $364.00
Order Id 10116, Total Price $336.00
Order Id 10117, Total Price $225.00
Order Id 10117, Total Price $68.00
Order Id 10117, Total Price $254.80
Order Id 10118, Total Price $5532.00
Order Id 10118, Total Price $504.00
Order Id 10118, Total Price $154.00
Order Id 10118, Total Price $414.00
Order Id 10119, Total Price $280.00
Order Id 10119, Total Price $260.00
Order Id 10120, Total Price $22.40
Order Id 10120, Total Price $56.00
Order Id 10121, Total Price $921.00
Order Id 10121, Total Price $400.00
Order Id 10122, Total Price $18.00
Order Id 10123, Total Price $1128.75
Order Id 10123, Total Price $243.00
Order Id 10123, Total Price $660.00
Order Id 10124, Total Price $189.00
Order Id 10124, Total Price $537.60
Order Id 10124, Total Price $240.00
Order Id 10125, Total Price $112.00
Order Id 10125, Total Price $93.00
Order Id 10126, Total Price $196.00
Order Id 10126, Total Price $160.00
Order Id 10126, Total Price $577.50
Order Id 10127, Total Price $87.50
Order Id 10127, Total Price $75.00
Order Id 10128, Total Price $420.00
Order Id 10128, Total Price $28.00
Order Id 10128, Total Price $90.00
Order Id 10129, Total Price $433.50
Order Id 10130, Total Price $108.00
Order Id 10130, Total Price $720.00
Order Id 10130, Total Price $153.90
Order Id 10131, Total Price $490.00
Order Id 10131, Total Price $440.00
Order Id 10131, Total Price $1428.00
Order Id 10132, Total Price $390.00
Order Id 10132, Total Price $465.00
Order Id 10132, Total Price $135.00
Order Id 10132, Total Price $495.00
Order Id 10133, Total Price $168.00
Order Id 10133, Total Price $2212.80
Order Id 10133, Total Price $319.20
Order Id 10134, Total Price $116.38
Order Id 10135, Total Price $63.00
Order Id 10136, Total Price $774.00
Order Id 10137, Total Price $80.00
Order Id 10137, Total Price $120.00
Order Id 10137, Total Price $607.50
Order Id 10138, Total Price $159.60
Order Id 10138, Total Price $132.00
Order Id 10139, Total Price $460.00
Order Id 10140, Total Price $313.20
Order Id 10141, Total Price $1350.00
Order Id 10141, Total Price $1190.00
Order Id 10142, Total Price $231.00
Order Id 10142, Total Price $99.00
Order Id 10143, Total Price $115.20
Order Id 10143, Total Price $240.00
Order Id 10144, Total Price $567.00
Order Id 10144, Total Price $108.50
Order Id 10144, Total Price $440.00
Order Id 10144, Total Price $96.00
Order Id 10145, Total Price $76.00
Order Id 10145, Total Price $111.72
Order Id 10145, Total Price $304.00
Order Id 10146, Total Price $218.00
Order Id 10146, Total Price $54.00
Order Id 10147, Total Price $14.00
Order Id 10147, Total Price $860.00
Order Id 10147, Total Price $370.00
Order Id 10148, Total Price $172.80
Order Id 10148, Total Price $48.00
Order Id 10148, Total Price $618.24
Order Id 10148, Total Price $712.32
Order Id 10149, Total Price $921.00
Order Id 10149, Total Price $504.00
Order Id 10150, Total Price $433.00
Order Id 10150, Total Price $198.00
Order Id 10150, Total Price $36.00
Order Id 10151, Total Price $15.30
Order Id 10151, Total Price $17.00
Order Id 10152, Total Price $342.00
Order Id 10152, Total Price $28.50
Order Id 10152, Total Price $114.00
Order Id 10153, Total Price $352.00
Order Id 10153, Total Price $285.60
Order Id 10154, Total Price $126.00
Order Id 10154, Total Price $117.60
Order Id 10154, Total Price $17.40
Order Id 10155, Total Price $960.00
Order Id 10155, Total Price $680.00
Order Id 10155, Total Price $600.00
Order Id 10156, Total Price $300.00
Order Id 10156, Total Price $385.00
Order Id 10156, Total Price $180.00
Order Id 10157, Total Price $386.75
Order Id 10157, Total Price $189.00
Order Id 10157, Total Price $446.25
Order Id 10158, Total Price $378.00
Order Id 10158, Total Price $117.60
Order Id 10158, Total Price $156.00
Order Id 10158, Total Price $90.00
Order Id 10158, Total Price $288.00
Order Id 10159, Total Price $432.00
Order Id 10159, Total Price $200.34
Order Id 10160, Total Price $24.00
Order Id 10160, Total Price $25.50
Order Id 10161, Total Price $205.80
Order Id 10161, Total Price $798.00
Order Id 10161, Total Price $117.60
Order Id 10162, Total Price $62.22
Order Id 10162, Total Price $8.67
Order Id 10162, Total Price $91.80
Order Id 10163, Total Price $252.00
Order Id 10163, Total Price $72.00
Order Id 10163, Total Price $1104.00
Order Id 10163, Total Price $348.00
Order Id 10164, Total Price $36.00
Order Id 10165, Total Price $540.00
Order Id 10165, Total Price $441.00
Order Id 10166, Total Price $546.00
Order Id 10166, Total Price $224.00
Order Id 10166, Total Price $60.00
Order Id 10167, Total Price $488.70
Order Id 10167, Total Price $220.32
Order Id 10167, Total Price $205.20
Order Id 10168, Total Price $2128.00
Order Id 10168, Total Price $204.80
Order Id 10168, Total Price $300.00
Order Id 10169, Total Price $1146.60
Order Id 10169, Total Price $130.50
Order Id 10170, Total Price $60.00
Order Id 10170, Total Price $60.00
Order Id 10170, Total Price $216.00
Order Id 10171, Total Price $12.80
Order Id 10171, Total Price $350.00
Order Id 10172, Total Price $51.00
Order Id 10172, Total Price $54.00
Order Id 10172, Total Price $121.50
Order Id 10173, Total Price $860.00
Order Id 10173, Total Price $192.50
Order Id 10174, Total Price $205.20
Order Id 10174, Total Price $430.92
Order Id 10175, Total Price $183.60
Order Id 10175, Total Price $282.63
Order Id 10175, Total Price $1130.50
Order Id 10176, Total Price $84.00
Order Id 10176, Total Price $450.00
Order Id 10176, Total Price $43.50
Order Id 10176, Total Price $150.00
Order Id 10177, Total Price $648.00
Order Id 10177, Total Price $224.00
Order Id 10177, Total Price $105.60
Order Id 10178, Total Price $272.00
Order Id 10178, Total Price $168.00
Order Id 10178, Total Price $210.00
Order Id 10179, Total Price $322.00
Order Id 10180, Total Price $160.00
Order Id 10180, Total Price $180.00
Order Id 10180, Total Price $66.00
Order Id 10181, Total Price $450.00
Order Id 10181, Total Price $1092.00
Order Id 10182, Total Price $220.00
Order Id 10182, Total Price $52.00
Order Id 10183, Total Price $65.10
Order Id 10183, Total Price $88.20
Order Id 10183, Total Price $84.00
Order Id 10184, Total Price $390.00
Order Id 10184, Total Price $64.00
Order Id 10184, Total Price $25.20
Order Id 10185, Total Price $9.60
Order Id 10185, Total Price $243.20
Order Id 10185, Total Price $112.00
Order Id 10186, Total Price $112.00
Order Id 10186, Total Price $512.00
Order Id 10186, Total Price $180.80
Order Id 10186, Total Price $399.00
Order Id 10187, Total Price $684.00
Order Id 10187, Total Price $364.80
Order Id 10188, Total Price $84.00
Order Id 10188, Total Price $258.75
Order Id 10189, Total Price $351.00
Order Id 10190, Total Price $61.20
Order Id 10191, Total Price $45.00
Order Id 10191, Total Price $300.00
Order Id 10192, Total Price $228.00
Order Id 10192, Total Price $40.00
Order Id 10193, Total Price $567.00
Order Id 10193, Total Price $3520.00
Order Id 10193, Total Price $78.00
Order Id 10194, Total Price $171.50
Order Id 10194, Total Price $375.00
Order Id 10195, Total Price $3864.00
Order Id 10195, Total Price $126.00
Order Id 10196, Total Price $315.00
Order Id 10196, Total Price $94.50
Order Id 10196, Total Price $4149.00
Order Id 10197, Total Price $18.90
Order Id 10197, Total Price $181.44
Order Id 10197, Total Price $202.50
Order Id 10198, Total Price $1106.40
Order Id 10198, Total Price $48.00
Order Id 10198, Total Price $468.00
Order Id 10198, Total Price $378.00
Order Id 10199, Total Price $792.00
Order Id 10199, Total Price $280.00
Order Id 10199, Total Price $480.00
Order Id 10200, Total Price $411.60
Order Id 10201, Total Price $283.50
Order Id 10201, Total Price $243.00
Order Id 10202, Total Price $252.00
Order Id 10202, Total Price $1480.29
Order Id 10202, Total Price $179.55
Order Id 10203, Total Price $840.00
Order Id 10203, Total Price $100.00
Order Id 10204, Total Price $456.75
Order Id 10204, Total Price $157.50
Order Id 10204, Total Price $1425.00
Order Id 10205, Total Price $104.40
Order Id 10205, Total Price $336.00
Order Id 10205, Total Price $336.00
Order Id 10205, Total Price $850.00
Order Id 10205, Total Price $350.00
Order Id 10206, Total Price $540.00
Order Id 10206, Total Price $384.00
Order Id 10207, Total Price $71.40
Order Id 10207, Total Price $102.00
Order Id 10207, Total Price $285.60
Order Id 10208, Total Price $287.28
Order Id 10209, Total Price $38.40
Order Id 10209, Total Price $180.00
Order Id 10209, Total Price $70.56
Order Id 10210, Total Price $176.40
Order Id 10210, Total Price $340.20
Order Id 10210, Total Price $567.00
Order Id 10210, Total Price $146.25
Order Id 10210, Total Price $202.50
Order Id 10211, Total Price $151.20
Order Id 10211, Total Price $240.00
Order Id 10211, Total Price $182.00
Order Id 10212, Total Price $64.00
Order Id 10212, Total Price $223.13
Order Id 10213, Total Price $1844.00
Order Id 10213, Total Price $240.00
Order Id 10213, Total Price $126.00
Order Id 10214, Total Price $25.60
Order Id 10214, Total Price $42.00
Order Id 10214, Total Price $875.00
Order Id 10214, Total Price $252.00
Order Id 10215, Total Price $140.00
Order Id 10215, Total Price $735.30
Order Id 10216, Total Price $270.00
Order Id 10216, Total Price $157.50
Order Id 10217, Total Price $187.60
Order Id 10217, Total Price $231.00
Order Id 10218, Total Price $408.50
Order Id 10218, Total Price $370.50
Order Id 10219, Total Price $302.40
Order Id 10219, Total Price $640.00
Order Id 10219, Total Price $36.00
Order Id 10220, Total Price $76.00
Order Id 10220, Total Price $14.53
Order Id 10220, Total Price $712.50
Order Id 10221, Total Price $104.00
Order Id 10221, Total Price $192.00
Order Id 10221, Total Price $460.00
Order Id 10222, Total Price $910.00
Order Id 10222, Total Price $1232.00
Order Id 10223, Total Price $27.00
Order Id 10223, Total Price $60.00
Order Id 10223, Total Price $133.00
Order Id 10224, Total Price $116.25
Order Id 10224, Total Price $187.50
Order Id 10225, Total Price $980.00
Order Id 10225, Total Price $120.00
Order Id 10225, Total Price $495.00
Order Id 10225, Total Price $49.00
Order Id 10225, Total Price $573.30
Order Id 10226, Total Price $1675.00
Order Id 10226, Total Price $7620.80
Order Id 10226, Total Price $89.60
Order Id 10226, Total Price $28.56
Order Id 10226, Total Price $1276.80
Order Id 10227, Total Price $75.60
Order Id 10227, Total Price $211.68
Order Id 10228, Total Price $68.70
Order Id 10228, Total Price $464.00
Order Id 10229, Total Price $88.20
Order Id 10229, Total Price $7.00
Order Id 10230, Total Price $1080.00
Order Id 10230, Total Price $1040.00
Order Id 10231, Total Price $310.50
Order Id 10232, Total Price $181.00
Order Id 10232, Total Price $280.00
Order Id 10232, Total Price $199.00
Order Id 10233, Total Price $61.20
Order Id 10233, Total Price $520.00
Order Id 10234, Total Price $65.10
Order Id 10234, Total Price $687.00
Order Id 10234, Total Price $50.40
Order Id 10235, Total Price $75.00
Order Id 10235, Total Price $283.50
Order Id 10235, Total Price $135.00
Order Id 10236, Total Price $560.00
Order Id 10236, Total Price $718.20
Order Id 10237, Total Price $102.40
Order Id 10237, Total Price $496.80
Order Id 10237, Total Price $38.40
Order Id 10238, Total Price $252.00
Order Id 10238, Total Price $50.40
Order Id 10238, Total Price $140.00
Order Id 10238, Total Price $48.60
Order Id 10239, Total Price $560.00
Order Id 10240, Total Price $808.50
Order Id 10240, Total Price $13.50
Order Id 10240, Total Price $63.00
Order Id 10240, Total Price $630.00
Order Id 10241, Total Price $319.20
Order Id 10241, Total Price $66.50
Order Id 10241, Total Price $760.00
Order Id 10242, Total Price $169.58
Order Id 10242, Total Price $223.13
Order Id 10242, Total Price $170.00
Order Id 10243, Total Price $98.00
Order Id 10243, Total Price $60.00
Order Id 10244, Total Price $144.00
Order Id 10244, Total Price $31.20
Order Id 10245, Total Price $403.20
Order Id 10245, Total Price $96.00
Order Id 10246, Total Price $180.00
Order Id 10247, Total Price $569.63
Order Id 10247, Total Price $400.00
Order Id 10247, Total Price $472.50
Order Id 10248, Total Price $168.00
Order Id 10248, Total Price $98.00
Order Id 10248, Total Price $121.50
Order Id 10249, Total Price $167.40
Order Id 10249, Total Price $1696.00
Order Id 10250, Total Price $77.00
Order Id 10250, Total Price $1261.40
Order Id 10250, Total Price $214.20
Order Id 10251, Total Price $95.76
Order Id 10251, Total Price $222.30
Order Id 10251, Total Price $336.00
Order Id 10252, Total Price $2462.40
Order Id 10252, Total Price $47.50
Order Id 10252, Total Price $1088.00
Order Id 10253, Total Price $200.00
Order Id 10253, Total Price $604.80
Order Id 10253, Total Price $640.00
Order Id 10254, Total Price $45.90
Order Id 10254, Total Price $342.72
Order Id 10254, Total Price $168.00
Order Id 10255, Total Price $304.00
Order Id 10255, Total Price $486.50
Order Id 10255, Total Price $380.00
Order Id 10255, Total Price $1320.00
Order Id 10256, Total Price $393.00
Order Id 10256, Total Price $124.80
Order Id 10257, Total Price $877.50
Order Id 10257, Total Price $86.40
Order Id 10257, Total Price $156.00
Order Id 10258, Total Price $608.00
Order Id 10258, Total Price $884.00
Order Id 10258, Total Price $122.88
Order Id 10259, Total Price $80.00
Order Id 10259, Total Price $20.80
Order Id 10260, Total Price $92.40
Order Id 10260, Total Price $780.00
Order Id 10260, Total Price $443.25
Order Id 10260, Total Price $189.00
Order Id 10261, Total Price $160.00
Order Id 10261, Total Price $288.00
Order Id 10262, Total Price $163.20
Order Id 10262, Total Price $360.00
Order Id 10262, Total Price $60.80
Order Id 10263, Total Price $625.50
Order Id 10263, Total Price $100.80
Order Id 10263, Total Price $931.50
Order Id 10263, Total Price $216.00
Order Id 10264, Total Price $532.00
Order Id 10264, Total Price $163.63
Order Id 10265, Total Price $936.00
Order Id 10265, Total Price $240.00
Order Id 10266, Total Price $346.56
Order Id 10267, Total Price $735.00
Order Id 10267, Total Price $2618.00
Order Id 10267, Total Price $183.60
Order Id 10268, Total Price $990.00
Order Id 10268, Total Price $111.20
Order Id 10269, Total Price $114.00
Order Id 10269, Total Price $528.20
Order Id 10270, Total Price $456.00
Order Id 10270, Total Price $920.00
Order Id 10271, Total Price $48.00
Order Id 10272, Total Price $388.80
Order Id 10272, Total Price $400.00
Order Id 10272, Total Price $667.20
Order Id 10273, Total Price $565.44
Order Id 10273, Total Price $142.50
Order Id 10273, Total Price $40.00
Order Id 10273, Total Price $837.90
Order Id 10273, Total Price $451.44
Order Id 10274, Total Price $344.00
Order Id 10274, Total Price $194.60
Order Id 10275, Total Price $41.04
Order Id 10275, Total Price $250.80
Order Id 10276, Total Price $372.00
Order Id 10276, Total Price $48.00
Order Id 10277, Total Price $728.00
Order Id 10277, Total Price $472.80
Order Id 10278, Total Price $248.00
Order Id 10278, Total Price $660.00
Order Id 10278, Total Price $280.80
Order Id 10278, Total Price $300.00
Order Id 10279, Total Price $351.00
Order Id 10280, Total Price $43.20
Order Id 10280, Total Price $384.00
Order Id 10280, Total Price $186.00
Order Id 10281, Total Price $7.30
Order Id 10281, Total Price $21.60
Order Id 10281, Total Price $57.60
Order Id 10282, Total Price $124.20
Order Id 10282, Total Price $31.20
Order Id 10283, Total Price $248.00
Order Id 10283, Total Price $131.40
Order Id 10283, Total Price $952.00
Order Id 10283, Total Price $83.40
Order Id 10284, Total Price $394.88
Order Id 10284, Total Price $325.50
Order Id 10284, Total Price $408.00
Order Id 10284, Total Price $42.00
Order Id 10285, Total Price $518.40
Order Id 10285, Total Price $470.40
Order Id 10285, Total Price $754.56
Order Id 10286, Total Price $1440.00
Order Id 10286, Total Price $1576.00
Order Id 10287, Total Price $472.60
Order Id 10287, Total Price $224.00
Order Id 10287, Total Price $122.40
Order Id 10288, Total Price $53.10
Order Id 10288, Total Price $27.00
Order Id 10289, Total Price $240.00
Order Id 10289, Total Price $239.40
Order Id 10290, Total Price $340.00
Order Id 10290, Total Price $1485.00
Order Id 10290, Total Price $240.00
Order Id 10290, Total Price $104.00
Order Id 10291, Total Price $86.40
Order Id 10291, Total Price $334.80
Order Id 10291, Total Price $76.32
Order Id 10292, Total Price $1296.00
Order Id 10293, Total Price $600.00
Order Id 10293, Total Price $36.00
Order Id 10293, Total Price $175.50
Order Id 10293, Total Price $37.20
Order Id 10294, Total Price $259.20
Order Id 10294, Total Price $468.00
Order Id 10294, Total Price $552.00
Order Id 10294, Total Price $571.20
Order Id 10294, Total Price $37.20
Order Id 10295, Total Price $121.60
Order Id 10296, Total Price $201.60
Order Id 10296, Total Price $417.00
Order Id 10296, Total Price $432.00
Order Id 10297, Total Price $864.00
Order Id 10297, Total Price $556.00
Order Id 10298, Total Price $608.00
Order Id 10298, Total Price $456.00
Order Id 10298, Total Price $990.00
Order Id 10298, Total Price $591.00
Order Id 10299, Total Price $109.50
Order Id 10299, Total Price $240.00
Order Id 10300, Total Price $408.00
Order Id 10300, Total Price $200.00
Order Id 10301, Total Price $147.00
Order Id 10301, Total Price $608.00
Order Id 10302, Total Price $1248.00
Order Id 10302, Total Price $1019.20
Order Id 10302, Total Price $441.60
Order Id 10303, Total Price $529.20
Order Id 10303, Total Price $453.60
Order Id 10303, Total Price $135.00
Order Id 10304, Total Price $480.00
Order Id 10304, Total Price $440.00
Order Id 10304, Total Price $34.40
